item_id,language,name,nb_views,created_at,Difficulty,Theme,duration,type
510,en,What is OneDrive for Business?,1114,2016,Beginner,Collaboration,42,tutorial
511,en,"Add, restore, delete documents on OneDrive",547,2016,Beginner,Collaboration,122,tutorial
512,en,Share documents,607,2016,Beginner,Collaboration,176,tutorial
513,en,Recycle bin,278,2016,Beginner,Collaboration,46,tutorial
514,en,Sync OneDrive for Business to your computer (Windows 10 - 1709),312,2016,Beginner,Collaboration,163,tutorial
515,en,Work with documents in a synced library folder (Windows 10 - 1709),253,2016,Beginner,Collaboration,87,tutorial
516,en,Change location where you sync libraries on your computer (Windows 10 - 1709),231,2016,Intermediate,Collaboration,113,tutorial
526,en,Introduction and how to use Outlook Online,373,2016,Beginner,Communicate,111,tutorial
527,en,"Create a new message, with attachments and options",208,2016,Beginner,Communicate,198,tutorial
528,en,Search and built-in filters,209,2016,Beginner,Communicate,153,tutorial
529,en,Create folders to sort your emails,242,2016,Beginner,Communicate,98,tutorial
530,en,Signature settings,159,2016,Beginner,Communicate,80,tutorial
531,en,Activate automatic replies,84,2016,Beginner,Communicate,102,tutorial
532,en,Create and assign categories,105,2016,Beginner,Communicate,84,tutorial
533,en,Create and use rules,121,2016,Intermediate,Communicate,155,tutorial
534,en,Use flags for your emails,71,2016,Intermediate,Communicate,83,tutorial
535,en,Use tasks in Outlook Web App,78,2016,Intermediate,Communicate,122,tutorial
536,en,Reply to a meeting invitation,74,2016,Beginner,Communicate,84,tutorial
537,en,Use advice and calendar introduction,67,2016,Beginner,Communicate,98,tutorial
538,en,Create a meeting within the calendar,132,2016,Beginner,Communicate,96,tutorial
539,en,Share or publish your calendar,97,2016,Intermediate,Communicate,55,tutorial
540,en,Sharing your calendar,87,2016,Intermediate,Communicate,142,tutorial
541,en,Publish your calendar or send it by email,58,2016,Advanced,Communicate,68,tutorial
542,en,Use advice and People introduction,64,2016,Beginner,Communicate,153,tutorial
543,en,Enrich the My contact folder,96,2016,Beginner,Communicate,120,tutorial
544,en,Create a contact group,63,2016,Beginner,Organize,72,tutorial
545,en,Introducing yammer,304,2016,Beginner,Discover,62,tutorial
546,en,Overview of the functions of Yammer,114,2016,Beginner,Discover,179,tutorial
547,en,Edit your profile in Yammer,60,2016,Beginner,Customize,57,tutorial
548,en,"Create, animate, and delete a group",66,2016,Beginner,Share,187,tutorial
549,en,Navigating in a group,65,2016,Beginner,Communicate,122,tutorial
550,en,"Create, share and manage a note in a group",116,2016,Beginner,Communicate,112,tutorial
551,en,Publish or reply to a message in a group,101,2016,Beginner,Communicate,143,tutorial
552,en,Following topics in Yammer,64,2016,Beginner,Communicate,66,tutorial
553,en,"Search, view, download and manage a file from a group",94,2016,Beginner,Communicate,226,tutorial
554,en,Creating or modifying office documents directly in Yammer,49,2016,Beginner,Communicate,79,tutorial
555,en,Following people in Yammer,50,2016,Beginner,Communicate,64,tutorial
556,en,Operation of the Inbox,80,2016,Intermediate,Communicate,106,tutorial
557,en,Sending or replying a private message,79,2016,Intermediate,Communicate,123,tutorial
558,en,Search and join a group,61,2016,Intermediate,Research,82,tutorial
559,en,Join the Yammer Network,65,2016,Intermediate,Research,81,tutorial
561,en,How notifications work and setting preferences,94,2016,Intermediate,Research,105,tutorial
615,en,Tell me what you want to do,184,2016,Beginner,Collaboration,57,tutorial
618,en,Create and modify a group,93,2016,Beginner,Collaboration,139,tutorial
619,en,Join a group,75,2016,Beginner,Collaboration,94,tutorial
622,en,Clutter,79,2016,Beginner,Organize,91,tutorial
733,en,Do things quickly with Tell Me,262,2016,Beginner,Discover,67,tutorial
734,en,New Chart types,116,2016,Intermediate,Produce,112,tutorial
735,en,One click Forecasting,118,2016,Advanced,Produce,61,tutorial
736,en,3D Maps,110,2016,Advanced,Produce,101,tutorial
737,en,Ink Equation,88,2016,Advanced,Produce,41,tutorial
738,en,Share documents,85,2016,Intermediate,Share,73,tutorial
739,en,Improved version history,84,2016,Intermediate,Produce,51,tutorial
740,en,Add numbers,82,2016,Beginner,Produce,174,tutorial
741,en,The SUM function,76,2016,Beginner,Produce,277,tutorial
742,en,The SUMIF function,80,2016,Intermediate,Produce,327,tutorial
743,en,Basic math,84,2016,Intermediate,Produce,148,tutorial
744,en,Using functions,83,2016,Intermediate,Produce,312,tutorial
745,en,Operator order,75,2016,Advanced,Produce,124,tutorial
746,en,More complex formulas,95,2016,Advanced,Produce,257,tutorial
747,en,Average a group of numbers,67,2016,Beginner,Produce,121,tutorial
748,en,AVERAGEIF function,55,2016,Intermediate,Produce,184,tutorial
749,en,Weighted average,75,2016,Beginner,Produce,126,tutorial
